Name,Assign,Date Created,Due Date,Priority,Property,Status
COLAB,,"May 23, 2020 3:14 PM",,,,
Technical Report,,"May 21, 2020 4:55 PM",,,,
Schedule & To - Do,,"May 17, 2020 12:25 AM",,High 🔥,,Next Up
"해외주식, 원자재",,"May 22, 2020 1:53 PM",,,,
FX Concept,,"May 22, 2020 1:54 PM",,,,
"국내주식(KOSPI),FX",,"May 22, 2020 1:08 PM",,,,
"국내주식(KOSDAQ), 채권, 현금",,"May 17, 2020 12:25 AM",,,,
시각자료,,"May 29, 2020 10:23 PM",,,,투자계획서
etc,,"May 30, 2020 5:45 PM",,,,
투자계획서,,"Jun 1, 2020 2:31 PM",,,,투자계획서
Task,,"May 17, 2020 12:25 AM",,,,
DB_Gaps 투자대회 기본 정보,,"May 17, 2020 12:25 AM",,,,Next Up
,,"May 21, 2020 4:56 PM",,,,
,,"May 22, 2020 1:54 PM",,,,
