,NII@NI225,IKS200,IKQ150,A132030,SPI@SPX
,NIKKEI 225 INDEX,코스피 200,코스닥 150,KODEX 골드선물(H),S&P 500
2010-10-01,9404 ,243 ,968 ,9995 ,1146 
2010-10-04,9381 ,244 ,964 ,10065 ,1137 
2010-10-05,9519 ,244 ,964 ,10065 ,1161 
2010-10-06,9691 ,248 ,971 ,10285 ,1160 
2010-10-07,9685 ,247 ,967 ,10335 ,1158 
2010-10-08,9589 ,247 ,966 ,10170 ,1165 
2010-10-11,,245 ,964 ,10335 ,1165 
2010-10-12,9389 ,242 ,958 ,10275 ,1170 
2010-10-13,9404 ,243 ,971 ,10345 ,1178 
2010-10-14,9584 ,246 ,982 ,10525 ,1174 
2010-10-15,9500 ,247 ,991 ,10520 ,1176 
2010-10-18,9498 ,243 ,1004 ,10385 ,1185 
2010-10-19,9539 ,240 ,1002 ,10410 ,1166 
2010-10-20,9382 ,242 ,1014 ,10215 ,1178 
2010-10-21,9376 ,243 ,1017 ,10235 ,1180 
2010-10-22,9427 ,246 ,1018 ,10130 ,1183 
2010-10-25,9401 ,248 ,1020 ,10230 ,1186 
2010-10-26,9377 ,248 ,1020 ,10210 ,1186 
2010-10-27,9387 ,247 ,1025 ,10165 ,1182 
2010-10-28,9366 ,246 ,1021 ,10115 ,1184 
2010-10-29,9202 ,243 ,1019 ,10240 ,1183 
2010-11-01,9155 ,247 ,1023 ,10390 ,1184 
2010-11-02,9160 ,248 ,1015 ,10340 ,1194 
2010-11-03,,250 ,1021 ,10335 ,1198 
2010-11-04,9359 ,251 ,1037 ,10335 ,1221 
2010-11-05,9626 ,251 ,1029 ,10610 ,1226 
2010-11-08,9733 ,252 ,1028 ,10620 ,1223 
2010-11-09,9694 ,252 ,1023 ,10770 ,1213 
2010-11-10,9831 ,255 ,1028 ,10680 ,1219 
2010-11-11,9861 ,248 ,1017 ,10720 ,1214 
2010-11-12,9725 ,248 ,989 ,10565 ,1199 
2010-11-15,9828 ,249 ,982 ,10420 ,1198 
2010-11-16,9797 ,248 ,981 ,10380 ,1178 
2010-11-17,9812 ,247 ,988 ,10175 ,1179 
2010-11-18,10014 ,251 ,1004 ,10320 ,1197 
2010-11-19,10022 ,253 ,1012 ,10320 ,1200 
2010-11-22,10115 ,254 ,1010 ,10385 ,1198 
2010-11-23,,252 ,999 ,10345 ,1181 
2010-11-24,10030 ,252 ,989 ,10490 ,1198 
2010-11-25,10080 ,252 ,991 ,10450 ,
2010-11-26,10040 ,249 ,963 ,10420 ,1189 
2010-11-29,10126 ,249 ,964 ,10320 ,1188 
2010-11-30,9937 ,250 ,972 ,10400 ,1181 
2010-12-01,9988 ,253 ,980 ,10595 ,1206 
2010-12-02,10169 ,256 ,988 ,10585 ,1222 
